StockCode,Description
10002,INFLATABLE POLITICAL GLOBE 
10080,GROOVY CACTUS INFLATABLE
10120,DOGGY RUBBER
10124A,SPOTS ON RED BOOKCOVER TAPE
10125,MINI FUNKY DESIGN TAPES
15030,FAN BLACK FRAME 
15044A,PINK PAPER PARASOL 
15044B,BLUE PAPER PARASOL 
15044C,PURPLE PAPER PARASOL
15044D,RED PAPER PARASOL
15058A,BLUE POLKADOT GARDEN PARASOL
15058B,PINK POLKADOT GARDEN PARASOL
15058C,ICE CREAM DESIGN GARDEN PARASOL
16008,SMALL FOLDING SCISSOR(POINTED EDGE)
16011,ANIMAL STICKERS
16012,FOOD/DRINK SPONGE STICKERS
16014,SMALL CHINESE STYLE SCISSOR
16015,MEDIUM CHINESE STYLE SCISSOR
16016,LARGE CHINESE STYLE SCISSOR
16020C,CLEAR STATIONERY BOX SET 
16045,POPART WOODEN PENCILS ASST
16046,TEATIME PEN CASE & PENS
16048,TEATIME ROUND PENCIL SHARPENER 
16049,TEATIME GEL PENS ASST
16052,TEATIME PUSH DOWN RUBBER
16054,POPART RECT PENCIL SHARPENER ASST
16156L,WRAP CAROUSEL
16161G,WRAP BAD HAIR DAY
16162L,THE KING GIFT BAG
16162M,THE KING GIFT BAG 25x24x12cm
16168M,FUNKY MONKEY GIFT BAG MEDIUM
16169K,WRAP FOLK ART
16169M,WRAP DAISY CARPET 
16207A,PINK STRAWBERRY HANDBAG 
16207B,PINK HEART RED HANDBAG
16216,LETTER SHAPE PENCIL SHARPENER
16218,CARTOON  PENCIL SHARPENERS
16219,HOUSE SHAPE PENCIL SHARPENER
16248B,BLUE HOLE PUNCH
16254,TRANSPARENT ACRYLIC TAPE DISPENSER
16258A,SWIRLY CIRCULAR RUBBERS IN BAG
16259,PIECE OF CAMO STATIONERY SET
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET 
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET 
