,StockCode
0,22632
1,21777
2,22913
3,22912
4,22632
5,22632
6,84997C
7,84519A
8,71270
9,37444A
10,37444C
11,71270
12,22176
13,22438
14,10002
15,22783
16,35004C
17,21324
18,22783
19,22168
20,84880
21,22466
22,22922
23,22923
24,22242
25,22198
26,22827
27,22127
28,22128
29,22803
30,35004C
31,22632
32,22100
33,22451
34,84744
35,17091A
36,22117
37,20966
38,21743
39,84709B
40,21587
41,84625C
42,84625A
43,47570B
44,21125
45,85049D
46,21061
47,21063
48,21062
49,22803
50,22632
51,22533
52,22706
53,21587
54,90199C
55,22785
56,85116
57,21609
58,20669
59,90129F
60,90210B
61,90199C
62,85116
63,21811
64,21678
65,21676
66,84625A
67,84625C
68,85169B
69,84906
70,21065
71,20966
72,90199C
73,22198
74,21738
75,21448
76,21738
77,22243
78,22243
79,21448
80,22242
81,22243
82,21738
83,21448
84,21448
85,21448
86,21710
87,21708
88,21711
89,21708
90,22595
91,22472
92,22529
93,22511
94,22451
95,17021
96,84678
97,85172
98,22480
99,20774
100,20773
101,20777
102,16016
103,16014
104,85169B
105,21651
106,21651
107,84625C
108,22618
109,21586
110,21587
111,85172
112,84754
113,21586
114,84849B
115,90200B
116,90059B
117,90185C
118,90059E
119,90059C
120,90200C
121,90200D
122,90200A
123,16258A
124,21816
125,21815
126,21814
127,10125
128,20878
129,20866
130,85095
131,22582
132,21815
133,85231G
134,22500
135,22742
136,21738
137,85231G
138,72818
139,21814
140,22595
141,84558A
142,20878
143,21370
144,21367
145,21190
146,21488
147,21441
148,21292
149,22760
150,21486
151,22643
152,22642
153,22575
154,21804
155,22582
156,22092
157,22100
158,21427
159,20772
160,71406C
161,84985A
162,84596E
163,21111
164,21664
165,21197
166,85231G
167,85035B
168,84968C
169,21190
170,84997C
171,21192
172,72800B
173,84563A
174,21742
175,21664
176,22217
177,21111
178,21106
179,21107
180,21826
181,17164B
182,15044B
183,21324
184,21587
185,84985A
186,85114B
187,22128
188,22454
189,85114B
190,22911
191,22911
192,22454
193,22453
194,84985A
195,21743
196,22164
197,72598
198,21657
199,21038
200,22783
201,21662
202,85104
203,21654
204,21664
205,22049
206,21333
207,22194
208,22688
209,22825
210,22797
211,22118
212,22277
213,20867
214,21688
215,21694
216,21467
217,21469
218,21690
219,37343
220,21143
221,84944
222,85199L
223,37495
224,85067
225,21743
226,85019A
227,85019C
228,20902
229,21811
230,21821
231,21851
232,21879
233,21884
234,21911
235,21944
236,22043
237,22067
238,22071
239,22100
240,22134
241,22135
242,22162
243,22198
244,22265
245,22276
246,22299
247,22336
248,22345
249,22359
250,22394
251,22444
252,22451
253,22471
254,22479
255,22497
256,22515
257,22517
258,22519
259,22540
260,22545
261,22582
262,22589
263,22595
264,22760
265,22769
266,22862
267,22876
268,22949
269,35095A
270,35095B
271,35598D
272,35599D
273,35818P
274,35957
275,35971
276,37476
277,47591B
278,72586
279,72799E
280,72799F
281,72816
282,79030D
283,79030G
284,84086C
285,85016
286,85017A
287,85032D
288,85064
289,85114B
290,85116
291,85127
292,85129D
293,85135B
294,85135C
295,85177
296,85186A
297,85232B
298,90003C
299,90018A
300,90022
301,90071
302,90099
303,90116
304,90120C
305,90129A
306,90129B
307,90161A
308,90190C
309,90194
310,90200A
311,90200C
312,90209B
313,90214D
314,90214G
315,90214H
316,90214J
317,90214R
318,84534B
319,84581
320,84598
321,84625A
322,84913B
323,84923
324,20856
325,20854
326,22862
327,17011F
328,17012A
329,17012B
330,17012C
331,17012D
332,17012E
333,17012F
334,17129F
335,18098C
336,20622
337,20658
338,20662
339,20669
340,20684
341,20770
342,20772
343,20835
344,20840
345,20867
346,20902
347,20966
348,21000
349,21069
350,21107
351,21147
352,21189
353,21191
354,21195
355,21249
356,21262
357,21349
358,21352
359,21354
360,21365
361,21366
362,21369
363,21372
364,21486
365,21488
366,21634
367,21641
368,21662
369,21721
370,21722
371,21742
372,21758
373,22466
374,79144B
375,22480
376,22482
377,20697
378,22597
379,22336
380,46000R
381,84920
382,22953
383,84508A
384,22471
385,22785
386,22786
387,85064
388,21486
389,85232B
390,84685
391,85232B
392,20616
393,22451
394,84352
395,22802
396,22876
397,22953
398,22399
399,22466
400,21777
401,79302M
402,21609
403,84509B
404,22313
405,21818
406,21372
407,21369
408,21462
409,22496
410,84870C
411,84870B
412,22765
413,21351
414,21191
415,21818
416,21147
417,21811
418,22640
419,22641
420,22638
421,21817
422,21808
423,21804
424,21018
425,22825
426,21587
427,22660
428,85232B
429,21761
430,85032D
431,84360
432,35954
433,35957
434,84760S
435,72816
436,84754
437,22444
438,35598D
439,85045
440,21352
441,35598B
442,22589
443,22595
444,21811
445,21817
